iter	Passed	Remaining
0	6	616
1	8	418
2	24	805
3	26	642
4	29	553
5	34	539
6	52	702
7	84	968
8	89	904
9	91	824
10	99	805
11	108	792
12	110	739
13	115	709
14	117	667
15	120	631
16	128	628
17	139	635
18	141	604
19	151	607
20	154	580
21	157	557
22	165	553
23	168	532
24	170	511
25	172	491
26	177	480
27	181	465
28	183	450
29	190	443
30	195	435
31	198	420
32	200	407
33	210	408
34	213	395
35	215	383
36	220	374
37	222	363
38	225	351
39	231	347
40	241	347
41	242	334
42	244	324
43	247	314
44	256	314
45	259	305
46	262	295
47	267	289
48	271	282
49	273	273
50	276	265
51	310	286
52	321	285
53	324	276
54	326	267
55	341	268
56	348	262
57	350	254
58	353	245
59	368	245
60	373	238
61	389	238
62	395	232
63	398	224
64	401	216
65	403	208
66	407	200
67	413	194
68	415	186
69	418	179
70	423	172
71	426	165
72	434	160
73	439	154
74	448	149
75	451	142
76	456	136
77	458	129
78	462	122
79	471	117
80	474	111
81	477	104
82	488	99
83	490	93
84	493	87
85	501	81
86	503	75
87	507	69
88	514	63
89	517	57
90	520	51
91	536	46
92	539	40
93	546	34
94	549	28
95	551	22
96	554	17
97	556	11
98	559	5
99	562	0
